Event ID,Start Time (UTC),Start Time (Local Pacific),End Time (UTC),End Time (Local Pacific),Duration (s),Dominant Frequency (Hz),Frequency Stddev (Hz),"SPI (peak, counts)","SPI (mean, counts)","SPI (peak, Pa)","SPI (mean, Pa)",Amplitude (peak dB SPL),Amplitude (mean dB SPL),Waveform Type,Mechanical Signature,Impulse/Pressure Event,Distrubance Energy Prominence,Distrubance Energy Concentration,Distrubance-Candidate,Event Discrimination
42,2025-03-12 00:24:08,2025-03-11 17:24:08,2025-03-12 00:24:38,2025-03-11 17:24:38,29.980771430145516,4.44,0.0,124.0,16.420782,0.124000005,0.016420783,75.84784,58.287277,clustered,False,False,True,True,True,disturbance-candidate
33,2025-03-12 01:45:09,2025-03-11 18:45:09,2025-03-12 01:45:39,2025-03-11 18:45:39,29.980771430145516,4.44,0.027234008398687955,148.0,12.497755,0.148,0.012497756,77.384636,55.916042,clustered,False,False,True,True,True,disturbance-candidate
38,2025-03-12 01:52:20,2025-03-11 18:52:20,2025-03-12 01:52:50,2025-03-11 18:52:50,29.980771430145516,4.44,0.4915971118565008,238.0,17.282873,0.238,0.017282873,81.51094,58.73172,clustered,False,False,True,True,True,disturbance-candidate
101,2025-03-13 15:55:14,2025-03-13 08:55:14,2025-03-13 15:55:44,2025-03-13 08:55:44,29.980771430145516,3.44,0.08888915516897113,146.0,37.828094,0.14600001,0.037828095,77.26646,65.53569,clustered,False,False,True,True,True,disturbance-candidate
4,2025-03-13 10:15:44,2025-03-13 03:15:44,2025-03-13 10:16:14,2025-03-13 03:16:14,29.980771430145516,2.4,0.027234008398687774,96.0,14.619628,0.096,0.014619629,73.624825,57.27813,clustered,False,False,True,True,True,disturbance-candidate
12,2025-03-13 06:35:33,2025-03-12 23:35:33,2025-03-13 06:36:03,2025-03-12 23:36:03,29.980771430145516,6.8,0.04160063498801672,80.0,18.910841,0.080000006,0.018910842,72.0412,59.51362,clustered,False,False,True,True,True,disturbance-candidate
29,2025-03-13 03:36:33,2025-03-12 20:36:33,2025-03-13 03:37:03,2025-03-12 20:37:03,29.980771430145516,2.4,0.016677356056864268,84.0,19.742142,0.08400001,0.019742142,72.46499,59.887283,clustered,False,False,True,True,True,disturbance-candidate
49,2025-03-13 03:52:32,2025-03-12 20:52:32,2025-03-13 03:53:02,2025-03-12 20:53:02,29.980771430145516,2.4,0.016677356056864268,106.0,18.18345,0.106000006,0.018183451,74.48552,59.172928,clustered,False,False,True,True,True,disturbance-candidate
54,2025-03-13 03:57:14,2025-03-12 20:57:14,2025-03-13 03:57:44,2025-03-12 20:57:44,29.980771430145516,2.4,0.4713216382778324,98.0,16.713278,0.098000005,0.016713278,73.803925,58.44063,clustered,False,False,True,True,True,disturbance-candidate
55,2025-03-13 03:57:46,2025-03-12 20:57:46,2025-03-13 03:58:16,2025-03-12 20:58:16,29.980771430145516,2.4,0.016677356056864268,88.0,17.770365,0.08800001,0.017770365,72.86905,58.973328,clustered,False,False,True,True,True,disturbance-candidate
57,2025-03-13 03:58:46,2025-03-12 20:58:46,2025-03-13 03:59:16,2025-03-12 20:59:16,29.980771430145516,2.4,0.016677356056864268,106.0,18.847979,0.106000006,0.01884798,74.48552,59.484695,clustered,False,False,True,True,True,disturbance-candidate
43,2025-03-22 16:32:14,2025-03-22 09:32:14,2025-03-22 16:32:44,2025-03-22 09:32:44,29.980771430145516,3.47,0.016677356056864046,98.0,30.012829,0.098000005,0.030012831,73.803925,63.52554,clustered,False,False,True,True,True,disturbance-candidate
9,2025-03-25 10:14:33,2025-03-25 03:14:33,2025-03-25 10:15:03,2025-03-25 03:15:03,29.980771430145516,6.67,0.3649293297783291,80.0,17.231558,0.080000006,0.01723156,72.0412,58.705894,clustered,False,False,True,True,True,disturbance-candidate
